id,job_title,descr50,job_level,job_grp,vert_grp,notes,del_doc_path,del_doc_name,beroep_cd,code_fnc,schaalsrt,schaalcode,kmrateint,productiv,prodpct,xdefratelv,inttar,exttar,docid,roleid,rolelevel,scalemin,scalemax,wkcp_risk,division,syscreated,syscreator,sysmodified,sysmodifier,sysguid,
1367,ACC MAN     ,Account Management Staff                          ,14,SM        ,ACCMAN    ,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,,0,0,,101,15:33.8,0,15:33.8,0,1109E942-629A-416B-8BF4-6EE08A1BAE23,
1247,ADM ASS SR  ,Finance & Administration Staff                    ,12,FA        ,FA        ,,,,,,,,0,0,0,,0,0,,,,0,0,,101,15:33.8,0,15:33.8,0,C7458956-37BB-4734-9672-0D13B553EC38,
1533,ADMIN       ,Thư ký Marketing                                 ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,1,1,,101,57:57.4,0,57:57.4,0,72D245E7-CCC9-40FE-A65F-C5708D29D68F,
1504,ASM         ,Giám đốc bán hàng khu vực                    ,10,KDTT      ,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,24:16.9,0,24:16.9,0,6D8358CE-AB7D-45FC-9E99-6005D44E0CC1,
1559,ASM (GĐBH)  ,GĐ bán hàng kênh Ecommerce                      ,10,KDTT      ,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,18:35.4,0,18:35.4,0,26A0C019-CD3C-4231-AD10-8DB11548928D,
1843,BA          ,NV Phân tích nghiệp vụ                         ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,35:25.7,0,35:25.7,0,0C465780-2293-4DBC-BA2C-DD5A403BEEB0,
1650,BH DMX      ,Nhân viên bảo hành ĐMX                          ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,44:01.1,0,44:01.1,0,45F15CC0-E7C8-4005-A45E-BE14B3E9E003,
1754,BHDDD       ,Nhân viên bảo hành sửa hàng DDD               ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,12:58.4,0,12:58.4,0,007A87BD-1E2D-4E7A-8C1A-29AEAED4C30E,
1623,BHOF        ,Nhân viên bảo hành Offsite                      ,10,,,1953,,,,,,,0,0,0,,0,0,,,3,0,0,,101,00:44.0,0,00:44.0,0,7CBE9ED2-1A90-417F-9910-E17D09399275,
1527,BHOL        ,Nhân viên bán hàng online                       ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,07:33.7,0,07:33.7,0,3AD9E5A0-6B07-42B7-9908-A4BB646CAE0C,
1690,BHTL        ,Nhân viên bán hàng thanh lý                    ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,09:49.4,0,09:49.4,0,778CBEB5-653B-4371-8189-D8977FEC3CAD,
1622,BHTN        ,Nhân viên bảo hành onsite                       ,10,,,1954,,,,,,,0,0,0,,0,0,,,3,0,0,,101,58:02.6,0,58:02.6,0,8B0593EC-AB62-410A-8C9A-1D99BE1913CD,
1658,BHTV        ,Nhân viên bảo hành thời vụ                    ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,42:46.7,0,42:46.7,0,C48370C6-5FA7-4039-BCEF-B25DEA8E19F8,
1648,BHUQ        ,Kỹ thuật viên bảo hành ủy quyền             ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,35:31.8,0,35:31.8,0,0EF8AA89-C4E9-4268-86AD-D73CDDFA7988,
1645,BUM         ,Quản lý ngành hàng Miền                        ,10,QLTKTL    ,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,26:52.3,0,26:52.3,0,CABAA4F5-C194-4B7D-B8FC-BDB803CD8089,
1646,BUM_KA      ,KA Manager kiêm Quản lý ngành hàng              ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,29:01.8,0,29:01.8,0,F1D42362-8293-4ABA-B664-BB3F645A1631,
1814,BUMDDDTQ    ,Quản lý ngành hàng DDD&TBNB Toàn quốc       ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,58:48.6,0,58:48.6,0,787C029D-7FB3-4368-914D-7779BB58B1B9,
1815,BUMDDNBTQ   ,Quản lý ngành hàng GD&DDNB Toàn quốc        ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,00:24.9,0,00:24.9,0,C2E385FC-C53B-4D39-A0F0-E45FC6A0B281,
1813,BUMDGDTQ    ,Quản lý ngành hàng ĐGD Toàn quốc            ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,57:56.1,0,57:56.1,0,D12223C7-ECF4-4BE2-9D59-80F999655821,
1816,BUMDTNBTQ   ,Quản lý ngành hàng DTDL Toàn quốc           ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,01:52.3,0,01:52.3,0,7B6157E1-E1E2-48D9-BE76-FCBF62559F30,
2851,BUMTBNBTQ   ,Quản lý ngành hàng TBNB Toàn quốc           ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,09:19.1,0,09:19.1,0,22B883E4-7495-4BAA-9A0A-A6548A4B7185,
1698,BUMTQ       ,Quản lý Ngành hàng Toàn quốc                ,10,QLTKTL    ,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,31:46.4,0,31:46.4,0,C1672A21-3613-481E-A1F7-6CDBD3766551,
1506,CALL        ,Nhân viên Callcenter                              ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,15:13.6,0,15:13.6,0,1A53B0BD-268F-435B-9848-A271B36F0AEC,
1526,CBKT        ,Nhân viên Kỹ thuật                              ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,44:52.5,0,44:52.5,0,D45137EA-C781-4CDD-8C1D-DA955D994737,
1697,CDD         ,Giám đốc Kinh doanh (CDD)                       ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,13:34.7,0,13:34.7,0,C6F70456-4C30-4449-AAEB-5D05A8C36E60,
1755,CFO         ,CFO - Giám đốc tài chính                      ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,49:51.3,0,49:51.3,0,8044A985-9977-4F66-A6D8-719F6AEDF9D8,
1688,CGCT        ,Chuyên gia cải tiến                             ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,12:00.7,0,12:00.7,0,F28A0A9F-171A-446F-9315-43159906ED26,
1406,CM          ,Chủ tịch HĐQT                                   ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,20:16.5,0,20:16.5,0,12E21C2A-DBC1-4BC3-AAE8-261984C6F04F,
1543,CN ĐÀ NẴNG,nhân viên kinh doanh                              ,10,KDTT      ,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,18:27.6,0,18:27.6,0,98AB4726-C30D-4378-9130-9E1D864DD771,
1540,CNMT        ,Nhân viên bán hàng                              ,10,PGPB      ,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,01:01.9,0,01:01.9,0,5C73C003-82AA-4436-9389-FE5A85F843EA,
1444,CNSX        ,Công nhân sản xuất                              ,10,,,,,GR4                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,07:30.9,0,07:30.9,0,2B4EBDB5-4F48-4DE0-863C-7EF14E50AEE4,
1251,CON DIV     ,Finance & Administration Manager                  ,15,FA        ,FA        ,,,,,,,,0,0,0,,0,0,,,,0,0,,101,15:33.8,0,15:33.8,0,4CAB97F9-05ED-4F13-88DB-B4A8D315B8CE,
1254,CONS        ,Consultant                                        ,13,TC        ,C         ,,,,,,,,0,0,0,,0,0,,,,0,0,,101,15:33.8,0,15:33.8,0,C6B7A9E6-1964-4AA5-93D5-33B902833569,
1256,CONS MAN    ,Consultancy Manager                               ,15,TC        ,C         ,,,,,,,,0,0,0,,0,0,,,,0,0,,101,15:33.8,0,15:33.8,0,D6E60ED7-AC0F-4203-BD86-942ED3BF13A0,
1801,CSKH        ,NV Chăm sóc khách hàng                         ,10,,,1955,,,,,,,0,0,0,,0,0,,,3,0,0,,101,06:10.0,0,06:10.0,0,DE9F374E-103A-4F45-8602-EEFB19868068,
1459,CT          ,Chủ tịch HĐQT                                   ,10,,,,,,,,,,0,1,0,,0,0,,,3,0,0,,101,10:05.6,0,10:05.6,0,DA2F3E85-9AC7-4894-9DDB-4C9B75FB2F17,
1675,CTCD        ,Chủ tịch công đoàn                             ,10,,,,,,,,,,0,1,0,,0,0,,,3,0,0,,101,18:32.2,0,18:32.2,0,35CFF5E4-1C13-4AF0-BE2C-E8D13B4797FB,
1695,CTV         ,Cộng tác viên                                   ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,20:01.0,0,20:01.0,0,BBF178B6-BC49-4F7A-92A2-011E20E6AA23,
2876,CVKD        ,Chuyên viên kinh doanh                            ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,42:18.1,0,42:18.1,0,4D9D7560-5042-498C-8D3E-CA48A1AC931B,
